CODIGO_MESA|DESCRIPCION|CODIGO_PAIS|NOMBRE_PAIS|CODIGO_DEPARTAMENTO|NOMBRE_DEPARTAMENTO|CODIGO_PROVINCIA|NOMBRE_PROVINCIA|CODIGO_SECCION|NOMBRE_MUNICIPIO|CODIGO_LOCALIDAD|NOMBRE_LOCALIDAD|CODIGO_RECINTO|NOMBRE_RECINTO|NUMERO_MESA|INSCRITOS_HABILITADOS|MNR|MAS-IPSP|LIBRES|MTS|FRI|VOCES|VOTO_VALIDO|VOTO_BLANCO|VOTO_NULO|VOTO_EMITIDO|VOTO_VALIDO_SISTEMA|VOTO_EMITIDO_SISTEMA
7002211|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11020|Escuela Nueva Esperanza|8|220|0|42|37|11|1|61|152|1|2|155|152|155
7002221|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11020|Escuela Nueva Esperanza|9|220|0|18|42|17|2|60|139|0|3|142|139|142
7002231|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11020|Escuela Nueva Esperanza|10|220|0|37|28|11|0|60|136|1|7|144|136|144
7002241|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11020|Escuela Nueva Esperanza|11|220|0|41|37|10|0|60|148|1|2|151|148|151
7002251|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11020|Escuela Nueva Esperanza|12|220|0|16|41|16|3|70|146|1|4|151|146|151
7002261|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11020|Escuela Nueva Esperanza|13|220|0|33|44|15|3|64|159|1|5|165|159|165
7002271|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11020|Escuela Nueva Esperanza|14|220|0|26|42|13|0|68|149|0|2|151|149|151
7002281|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11020|Escuela Nueva Esperanza|15|210|0|36|24|21|2|45|128|1|4|133|128|133
7002291|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11043|U.E. Integracion de las Americas|1|220|0|86|15|6|1|30|138|1|10|149|138|149
7002301|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11043|U.E. Integracion de las Americas|2|220|0|98|14|4|3|25|144|0|9|153|144|153
7002311|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11043|U.E. Integracion de las Americas|3|220|0|81|29|4|0|26|140|0|3|143|140|143
7002321|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11043|U.E. Integracion de las Americas|4|220|0|95|10|1|1|29|136|1|14|151|136|151
7002331|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11043|U.E. Integracion de las Americas|5|220|0|78|19|1|2|31|131|1|5|137|131|137
7002341|ALCALDESA/ALCALDE|32|Bolivia|7|Santa Cruz     |1|Andrés Ibáñez|4|La Guardia|2255|Kilómetro Doce|11043|U.E. Integracion de las Americas|6|220|0|83|20|8|4|31|146|1|13|160|146|160
